Noise,SigD,SigI,PSNR
10,3.0,4.0,75.5026693283
10,3.0,4.0,73.0034037164
10,3.0,4.0,74.0000059375
10,4.0,0.1,62.3088662482
10,4.0,0.1,58.183368642
10,4.0,0.1,59.9305443299
10,4.0,0.1,60.8968110331
10,4.0,0.1,61.4660581893
10,4.0,1.0,68.3254432257
10,4.0,1.0,70.9418536937
10,4.0,1.0,69.8580741075
10,4.0,1.0,71.1765875462
10,4.0,1.0,68.476579985
10,4.0,2.0,78.0720911343
10,4.0,2.0,73.7232795049
10,4.0,2.0,76.1166825154
10,4.0,2.0,78.7526368693
10,4.0,2.0,78.2646445197
10,4.0,3.0,71.1177228063
10,4.0,3.0,73.3190845963
10,4.0,3.0,70.5787564878
10,4.0,3.0,74.7258354861
10,4.0,3.0,74.0448540598
10,4.0,4.0,69.5519297874
10,4.0,4.0,70.2159866802
10,4.0,4.0,71.0949106984
10,4.0,4.0,69.4678709964
10,4.0,4.0,71.6870990671
20,0.1,0.1,47.1171994818
20,0.1,0.1,49.0605423018
20,0.1,0.1,52.8067263136
20,0.1,0.1,46.7602474747
20,0.1,0.1,50.0116819378
20,0.1,1.0,50.5523923363
20,0.1,1.0,48.5815326341
20,0.1,1.0,45.8728399003
20,0.1,1.0,48.003090646
20,0.1,1.0,48.0380184753
20,0.1,2.0,46.1646983882
20,0.1,2.0,47.7420342777
20,0.1,2.0,47.4569525775
20,0.1,2.0,48.1409222799
20,0.1,2.0,47.4163847715
20,0.1,3.0,49.3673261308
20,0.1,3.0,44.9326235913
20,0.1,3.0,47.6868810708
20,0.1,3.0,48.6494792124
20,0.1,3.0,49.1638136089
20,0.1,4.0,48.4372674373
20,0.1,4.0,46.5387151147
20,0.1,4.0,49.5616154832
20,0.1,4.0,45.5376299617
20,0.1,4.0,48.1163990427
20,1.0,0.1,46.2924329604
20,1.0,0.1,45.5684810106
20,1.0,0.1,46.6602257943
20,1.0,0.1,49.6415588558
20,1.0,0.1,47.0528412676
20,1.0,1.0,50.7433049743
20,1.0,1.0,51.7276400065
20,1.0,1.0,48.1301364568
20,1.0,1.0,52.4818268672
20,1.0,1.0,49.6498767858
20,1.0,2.0,55.8321874135
20,1.0,2.0,56.1301521621
20,1.0,2.0,54.3485778889
20,1.0,2.0,53.3641911231
20,1.0,2.0,56.3998346406
20,1.0,3.0,55.9575769152
20,1.0,3.0,59.4750139947
20,1.0,3.0,56.4075079568
20,1.0,3.0,55.5722433506
20,1.0,3.0,57.13070288
20,1.0,4.0,58.5848052753
20,1.0,4.0,58.9325767452
20,1.0,4.0,56.3979952722
20,1.0,4.0,54.1558802552
20,1.0,4.0,57.8261603567
20,2.0,0.1,46.4350580593
20,2.0,0.1,45.9256345882
20,2.0,0.1,47.8498693618
20,2.0,0.1,48.5507023778
20,2.0,0.1,46.409772339
20,2.0,1.0,50.7699503157
20,2.0,1.0,57.2496679154
20,2.0,1.0,52.6886376474
20,2.0,1.0,51.9011449403
20,2.0,1.0,53.446998021
20,2.0,2.0,59.6491439799
20,2.0,2.0,62.3464127281
20,2.0,2.0,56.5576904695
