Noise,Thresh,PSNR
20,0.35,50.2113222601
20,0.35,50.294656051
20,0.35,51.4230746373
20,0.35,49.0454498093
20,0.35,50.2678189583
20,0.45,50.2648529887
20,0.45,51.709759049
20,0.45,52.4363912786
20,0.45,53.2059046608
20,0.45,51.4171949458
20,0.55,52.2143132016
20,0.55,46.8909855748
20,0.55,49.6417833159
20,0.55,50.7644036046
20,0.55,50.5609761202
20,0.65,48.692824635
20,0.65,48.6842464972
20,0.65,49.4145958589
20,0.65,47.6168839229
20,0.65,50.0519742944
30,0.15,44.0694153159
30,0.15,44.0046390317
30,0.15,43.9410907116
30,0.15,44.9097375139
30,0.15,46.0864434748
30,0.35,45.4085366397
30,0.35,44.4274569326
30,0.35,46.9553518539
30,0.35,46.1568132888
30,0.35,43.7619101947
30,0.45,42.9173842084
30,0.45,44.1791149078
30,0.45,41.4927248607
30,0.45,46.6177524789
30,0.45,44.0974549091
30,0.55,44.049258999
30,0.55,43.0463839215
30,0.55,44.2793806883
30,0.55,45.1104381714
30,0.55,44.1086581132
30,0.65,44.9717467444
30,0.65,42.5454124153
30,0.65,44.6732704307
30,0.65,41.8776785396
30,0.65,42.1354740777
1,0.5,78.1289123817
1,0.5,80.4178710857
1,0.5,78.1046792952
1,0.5,78.132651154
1,0.5,80.4228140396
1,0.55,78.1408943438
1,0.55,78.0834534948
1,0.55,78.1379106107
1,0.55,78.1127472075
1,0.55,78.1024334925
1,0.6,74.0063948813
1,0.6,74.0132592972
1,0.6,74.0031998088
1,0.6,74.0111339219
1,0.6,73.9656641097
5,0.5,74.2875588352
5,0.5,73.2828389069
5,0.5,75.3496779641
5,0.5,71.7582107563
5,0.5,76.236577153
5,0.55,73.3526993958
5,0.55,72.3017802983
5,0.55,71.6845242504
5,0.55,73.3095872007
5,0.55,71.8320440443
5,0.6,75.134075963
5,0.6,73.2084595922
5,0.6,72.9686891602
5,0.6,72.9214986348
5,0.6,73.5214872514
1,0.45,80.4056355012
1,0.45,80.4217899756
1,0.45,80.417843191
1,0.45,80.3969967138
1,0.45,80.4280608155
1,0.55,78.1112097809
1,0.55,78.1173540748
1,0.55,78.1283542833
1,0.55,78.1300939373
1,0.55,78.1168894643
1,0.65,73.9842831182
1,0.65,73.9920405491
1,0.65,73.9971906546
1,0.65,74.0048419074
1,0.65,74.0144608034
5,0.45,74.710206502
5,0.45,74.8646793968
5,0.45,73.4358528287
5,0.45,75.8222151149
5,0.45,75.1867851519
5,0.55,72.5082792961
5,0.55,73.0391880453
5,0.55,74.8946505599
5,0.55,75.646930469
5,0.55,74.8583381303
5,0.65,72.3224459817
5,0.65,72.5295731789
5,0.65,72.7414759236
5,0.65,72.2621889476
5,0.65,72.8153682856
1,0.4,80.3908346858
1,0.4,80.43239574
1,0.4,80.4136849496
1,0.4,80.4266738339
1,0.4,80.4180726795
1,0.55,73.9848874615
1,0.55,78.1247596964
1,0.55,78.1287676637
1,0.55,78.1081227745
1,0.55,74.0093791017
1,0.7,74.0132715901
1,0.7,74.0059503965
1,0.7,74.0002683508
1,0.7,73.9900406713
1,0.7,73.9925948823
5,0.4,75.4229525541
5,0.4,75.418960474
5,0.4,78.5323943271
5,0.4,74.1384366813
5,0.4,74.0139948741
5,0.55,74.2425947987
5,0.55,74.8422844986
5,0.55,73.0597675361
5,0.55,75.6345787514
5,0.55,76.421064549
5,0.7,73.0321840625
5,0.7,73.5591943568
5,0.7,73.2118871087
5,0.7,73.6064419413
5,0.7,73.3386448078
1,0.1,102.848770356
1,0.1,105.99779318
1,0.1,104.959510345
1,0.1,105.511036344
1,0.1,104.201545317
1,0.1,105.297871375
1,0.1,105.06484634
1,0.1,103.12746191
1,0.1,102.420730628
1,0.1,105.946915594
1,0.15,101.510137194
1,0.15,101.5284942
1,0.15,100.568930386
1,0.15,100.943345036
1,0.15,99.5607259684
1,0.15,101.756884123
1,0.15,100.856908442
1,0.15,101.270936426
1,0.15,102.307994387
1,0.15,100.506463505
1,0.2,98.2272104737
1,0.2,98.3715007877
1,0.2,98.8486762776
1,0.2,96.1299332562
1,0.2,96.3590020586
1,0.2,95.3173381926
1,0.2,98.1912931028
1,0.2,98.3697246367
1,0.2,95.2761218609
1,0.2,98.7895270856
1,0.25,90.7487292779
1,0.25,90.8897320845
1,0.25,91.410184041
1,0.25,94.5613792803
1,0.25,94.5049613684
1,0.25,90.8130569759
1,0.25,90.8440131257
