Noise,Beta1,Window1,T1,Beta2,Window2,T2,PSNR
5,0.54,7,0.83,0.64,7,0.8,83.3996317886
5,0.54,7,0.83,0.64,7,0.8,85.2369830571
5,0.54,7,0.83,0.64,7,0.8,80.4005623413
5,0.54,7,0.83,0.64,7,0.8,85.9386534839
10,0.34,7,0.63,0.44,7,0.6,76.1720782079
10,0.34,7,0.63,0.44,7,0.6,75.9690004724
10,0.34,7,0.63,0.44,7,0.6,77.6314008931
10,0.34,7,0.63,0.44,7,0.6,72.3379539791
10,0.34,7,0.63,0.44,7,0.6,78.3123985485
10,0.34,7,0.63,0.44,7,0.8,77.1729894682
10,0.34,7,0.63,0.44,7,0.8,74.5321504332
10,0.34,7,0.63,0.44,7,0.8,75.9269837712
10,0.34,7,0.63,0.44,7,0.8,78.7394688351
10,0.34,7,0.63,0.44,7,0.8,72.2645607054
10,0.34,7,0.63,0.64,7,0.6,80.7859279106
10,0.34,7,0.63,0.64,7,0.6,72.0048701728
10,0.34,7,0.63,0.64,7,0.6,70.7888478894
10,0.34,7,0.63,0.64,7,0.6,74.9353068842
10,0.34,7,0.63,0.64,7,0.6,69.8491749082
10,0.34,7,0.63,0.64,7,0.8,71.9098392319
10,0.34,7,0.63,0.64,7,0.8,73.1957373627
10,0.34,7,0.63,0.64,7,0.8,73.7764630564
10,0.34,7,0.63,0.64,7,0.8,74.8734569831
10,0.34,7,0.63,0.64,7,0.8,78.7582719078
10,0.34,7,0.83,0.44,7,0.6,71.7695234695
10,0.34,7,0.83,0.44,7,0.6,77.2936684659
10,0.34,7,0.83,0.44,7,0.6,75.2987515524
10,0.34,7,0.83,0.44,7,0.6,73.440103676
10,0.34,7,0.83,0.44,7,0.6,73.6720562855
10,0.34,7,0.83,0.44,7,0.8,73.1586079073
10,0.34,7,0.83,0.44,7,0.8,78.0175024833
10,0.34,7,0.83,0.44,7,0.8,73.0454328534
10,0.34,7,0.83,0.44,7,0.8,71.7500111574
10,0.34,7,0.83,0.44,7,0.8,74.3556817999
10,0.34,7,0.83,0.64,7,0.6,75.4553949559
10,0.34,7,0.83,0.64,7,0.6,71.5090847141
10,0.34,7,0.83,0.64,7,0.6,73.2991813827
10,0.34,7,0.83,0.64,7,0.6,74.5016866217
10,0.34,7,0.83,0.64,7,0.6,76.692957273
10,0.34,7,0.83,0.64,7,0.8,73.8502386601
10,0.34,7,0.83,0.64,7,0.8,76.0029432148
10,0.34,7,0.83,0.64,7,0.8,72.336548882
10,0.34,7,0.83,0.64,7,0.8,76.4001845946
10,0.34,7,0.83,0.64,7,0.8,73.8299482507
10,0.54,7,0.63,0.44,7,0.6,67.7201660777
10,0.54,7,0.63,0.44,7,0.6,73.7510458165
10,0.54,7,0.63,0.44,7,0.6,72.0575793121
10,0.54,7,0.63,0.44,7,0.6,69.7831591825
10,0.54,7,0.63,0.44,7,0.6,74.0969416069
10,0.54,7,0.63,0.44,7,0.8,72.5239162329
10,0.54,7,0.63,0.44,7,0.8,77.1606610438
10,0.54,7,0.63,0.44,7,0.8,73.4918782745
10,0.54,7,0.63,0.44,7,0.8,71.5913825974
10,0.54,7,0.63,0.44,7,0.8,76.5718735869
10,0.54,7,0.63,0.64,7,0.6,71.3060309561
10,0.54,7,0.63,0.64,7,0.6,70.5366490298
10,0.54,7,0.63,0.64,7,0.6,69.9631135627
10,0.54,7,0.63,0.64,7,0.6,69.7430336376
10,0.54,7,0.63,0.64,7,0.6,70.5370549309
10,0.54,7,0.63,0.64,7,0.8,70.9211862098
10,0.54,7,0.63,0.64,7,0.8,75.6725073701
10,0.54,7,0.63,0.64,7,0.8,69.7903535167
10,0.54,7,0.63,0.64,7,0.8,71.7763602121
10,0.54,7,0.63,0.64,7,0.8,68.4353949281
10,0.54,7,0.83,0.44,7,0.6,72.2389122558
10,0.54,7,0.83,0.44,7,0.6,70.5352155619
10,0.54,7,0.83,0.44,7,0.6,78.6222031338
10,0.54,7,0.83,0.44,7,0.6,74.3608190499
10,0.54,7,0.83,0.44,7,0.6,71.26562747
10,0.54,7,0.83,0.44,7,0.8,71.546439111
10,0.54,7,0.83,0.44,7,0.8,72.6983951441
10,0.54,7,0.83,0.44,7,0.8,71.402498311
10,0.54,7,0.83,0.44,7,0.8,76.1259821361
10,0.54,7,0.83,0.44,7,0.8,71.1990045657
10,0.54,7,0.83,0.64,7,0.6,70.2425358989
10,0.54,7,0.83,0.64,7,0.6,73.9805032561
10,0.54,7,0.83,0.64,7,0.6,70.5268265783
10,0.54,7,0.83,0.64,7,0.6,69.1161849276
10,0.54,7,0.83,0.64,7,0.6,71.8811484435
10,0.54,7,0.83,0.64,7,0.8,74.8305107594
10,0.54,7,0.83,0.64,7,0.8,76.9328946509
10,0.54,7,0.83,0.64,7,0.8,69.5067335003
10,0.54,7,0.83,0.64,7,0.8,70.9641188103
10,0.54,7,0.83,0.64,7,0.8,67.7797929833
20,0.34,7,0.63,0.44,7,0.6,57.4181786524
20,0.34,7,0.63,0.44,7,0.6,63.1432070721
20,0.34,7,0.63,0.44,7,0.6,59.8534121826
20,0.34,7,0.63,0.44,7,0.6,56.5247171292
20,0.34,7,0.63,0.44,7,0.6,59.378591853
20,0.34,7,0.63,0.44,7,0.8,62.6001032842
20,0.34,7,0.63,0.44,7,0.8,59.7825044374
20,0.34,7,0.63,0.44,7,0.8,65.7288590667
20,0.34,7,0.63,0.44,7,0.8,59.2377231061
20,0.34,7,0.63,0.44,7,0.8,55.1427849387
20,0.34,7,0.63,0.64,7,0.6,60.4837353037
20,0.34,7,0.63,0.64,7,0.6,53.5926261056
20,0.34,7,0.63,0.64,7,0.6,64.9192543688
20,0.34,7,0.63,0.64,7,0.6,59.4242329211
20,0.34,7,0.63,0.64,7,0.6,62.2854232011
20,0.34,7,0.63,0.64,7,0.8,63.5783979868
20,0.34,7,0.63,0.64,7,0.8,59.5042612868
20,0.34,7,0.63,0.64,7,0.8,58.1968467867
20,0.34,7,0.63,0.64,7,0.8,57.6072303386
20,0.34,7,0.63,0.64,7,0.8,61.4587205662
20,0.34,7,0.83,0.44,7,0.6,61.4648436375
20,0.34,7,0.83,0.44,7,0.6,58.3633911271
20,0.34,7,0.83,0.44,7,0.6,57.5281660388
20,0.34,7,0.83,0.44,7,0.6,60.4636199419
20,0.34,7,0.83,0.44,7,0.6,58.3248827298
20,0.34,7,0.83,0.44,7,0.8,63.2368589095
20,0.34,7,0.83,0.44,7,0.8,64.4635599859
20,0.34,7,0.83,0.44,7,0.8,65.5067658198
20,0.34,7,0.83,0.44,7,0.8,58.9183801973
20,0.34,7,0.83,0.44,7,0.8,60.8520097788
20,0.34,7,0.83,0.64,7,0.6,58.342498086
20,0.34,7,0.83,0.64,7,0.6,60.7024646657
20,0.34,7,0.83,0.64,7,0.6,61.4928694863
20,0.34,7,0.83,0.64,7,0.6,58.7021583884
20,0.34,7,0.83,0.64,7,0.6,64.2977731043
20,0.34,7,0.83,0.64,7,0.8,62.0813019505
20,0.34,7,0.83,0.64,7,0.8,54.5113113494
20,0.34,7,0.83,0.64,7,0.8,61.1145008841
20,0.34,7,0.83,0.64,7,0.8,55.867452024
20,0.34,7,0.83,0.64,7,0.8,54.113715132
20,0.54,7,0.63,0.44,7,0.6,60.0984529497
20,0.54,7,0.63,0.44,7,0.6,55.8036308647
