date	time	wind_gen_forecast	wind_gen_actual
10/2/2010	8:50	164	140
10/2/2010	8:55	157	135
10/2/2010	9:00	155	132
10/2/2010	9:05	154	131
10/2/2010	9:10	159	126
10/2/2010	9:15	159	125
10/2/2010	9:20	159	127
10/2/2010	9:25	159	127
10/2/2010	9:30	189	122
10/2/2010	9:35	189	117
10/2/2010	9:40	189	110
10/2/2010	9:45	189	106
10/2/2010	9:50	189	99
10/2/2010	9:55	169	94
10/2/2010	10:00	154	87
10/2/2010	10:05	143	80
10/2/2010	10:10	135	74
10/2/2010	10:15	135	70
10/2/2010	10:20	135	59
10/2/2010	10:25	135	51
10/2/2010	10:30	135	45
10/2/2010	10:35	135	43
10/2/2010	10:40	135	37
10/2/2010	10:45	135	30
10/2/2010	10:50	135	25
10/2/2010	10:55	116	19
10/2/2010	11:00	101	17
10/2/2010	11:05	86	13
10/2/2010	11:10	76	10
10/2/2010	11:15	75	9
10/2/2010	11:20	75	6
10/2/2010	11:25	75	6
10/2/2010	11:30	75	4
10/2/2010	11:35	75	1
10/2/2010	11:40	75	2
10/2/2010	11:45	75	2
10/2/2010	11:50	75	1
10/2/2010	11:55	63	0
10/2/2010	12:00	57	0
10/2/2010	12:05	51	0
10/2/2010	12:10	46	0
10/2/2010	12:15	46	0
10/2/2010	12:20	46	0
10/2/2010	12:25	46	0
10/2/2010	12:30	46	0
10/2/2010	12:35	46	0
10/2/2010	12:40	46	0
10/2/2010	12:45	46	0
10/2/2010	12:50	46	0
10/2/2010	12:55	38	0
10/2/2010	13:00	32	0
10/2/2010	13:05	27	0
10/2/2010	13:10	24	0
10/2/2010	13:15	24	0
10/2/2010	13:20	24	0
10/2/2010	13:25	24	0
10/2/2010	13:30	24	0
10/2/2010	13:35	24	0
10/2/2010	13:40	24	0
10/2/2010	13:45	24	0
10/2/2010	13:50	24	0
10/2/2010	13:55	23	0
10/2/2010	14:00	23	1
10/2/2010	14:05	23	2
10/2/2010	14:10	23	2
10/2/2010	14:15	23	2
10/2/2010	14:20	23	2
10/2/2010	14:25	23	3
10/2/2010	14:30	23	4
10/2/2010	14:35	23	5
10/2/2010	14:40	23	5
10/2/2010	14:45	23	5
10/2/2010	14:50	23	3
10/2/2010	14:55	23	4
10/2/2010	15:00	23	4
10/2/2010	15:05	23	4
10/2/2010	15:10	24	4
10/2/2010	15:15	24	5
10/2/2010	15:20	24	6
10/2/2010	15:25	24	7
10/2/2010	15:30	24	7
10/2/2010	15:35	24	7
10/2/2010	15:40	24	8
10/2/2010	15:45	24	8
10/2/2010	15:50	24	7
10/2/2010	15:55	24	6
10/2/2010	16:00	24	5
10/2/2010	16:05	24	4
10/2/2010	16:10	25	5
10/2/2010	16:15	25	4
10/2/2010	16:20	25	4
10/2/2010	16:25	25	5
10/2/2010	16:30	25	4
10/2/2010	16:35	25	7
10/2/2010	16:40	25	9
10/2/2010	16:45	25	7
10/2/2010	16:50	25	5
10/2/2010	16:55	26	4
10/2/2010	17:00	27	3
10/2/2010	17:05	28	4
10/2/2010	17:10	29	5
10/2/2010	17:15	30	5
10/2/2010	17:20	30	6
10/2/2010	17:25	30	7
10/2/2010	17:30	30	6
10/2/2010	17:35	30	4
10/2/2010	17:40	30	3
10/2/2010	17:45	30	5
10/2/2010	17:50	30	4
10/2/2010	17:55	29	4
10/2/2010	18:00	29	6
10/2/2010	18:05	29	5
10/2/2010	18:10	29	3
10/2/2010	18:15	29	3
10/2/2010	18:20	29	3
10/2/2010	18:25	29	1
10/2/2010	18:30	29	1
10/2/2010	18:35	29	1
10/2/2010	18:40	29	1
10/2/2010	18:45	29	1
10/2/2010	18:50	29	1
10/2/2010	18:55	32	2
10/2/2010	19:00	36	2
10/2/2010	19:05	40	3
10/2/2010	19:10	45	3
10/2/2010	19:15	45	3
10/2/2010	19:20	45	3
10/2/2010	19:25	45	3
10/2/2010	19:30	45	3
10/2/2010	19:35	45	2
10/2/2010	19:40	45	2
10/2/2010	19:45	45	2
10/2/2010	19:50	45	2
10/2/2010	19:55	41	1
10/2/2010	20:00	37	1
10/2/2010	20:05	34	1
10/2/2010	20:10	32	2
10/2/2010	20:15	32	1
10/2/2010	20:20	32	1
10/2/2010	20:25	32	1
10/2/2010	20:30	32	1
10/2/2010	20:35	32	1
10/2/2010	20:40	32	2
10/2/2010	20:45	32	8
10/2/2010	20:50	32	29
10/2/2010	20:55	28	49
10/2/2010	21:00	27	65
10/2/2010	21:05	26	83
10/2/2010	21:10	27	99
10/2/2010	21:15	27	116
10/2/2010	21:20	27	131
10/2/2010	21:25	27	139
10/2/2010	21:30	107	153
10/2/2010	21:35	107	167
10/2/2010	21:40	107	187
10/2/2010	21:45	107	212
10/2/2010	21:50	107	237
10/2/2010	21:55	107	295
10/2/2010	22:00	110	348
10/2/2010	22:05	113	391
10/2/2010	22:10	123	431
10/2/2010	22:15	123	482
10/2/2010	22:20	123	537
10/2/2010	22:25	123	596
10/2/2010	22:30	183	653
10/2/2010	22:35	183	699
10/2/2010	22:40	183	743
10/2/2010	22:45	183	815
10/2/2010	22:50	183	813
10/2/2010	22:55	251	820
10/2/2010	23:00	329	860
10/2/2010	23:05	399	867
10/2/2010	23:10	477	860
10/2/2010	23:15	477	864
10/2/2010	23:20	477	872
10/2/2010	23:25	477	858
10/2/2010	23:30	537	846
10/2/2010	23:35	537	882
10/2/2010	23:40	537	953
10/2/2010	23:45	537	987
10/2/2010	23:50	537	968
10/2/2010	23:55	626	940
10/3/2010	0:00	725	945
10/3/2010	0:05	817	990
10/3/2010	0:10	918	987
10/3/2010	0:15	918	947
10/3/2010	0:20	918	975
10/3/2010	0:25	918	1008
10/3/2010	0:30	918	998
10/3/2010	0:35	918	1082
10/3/2010	0:40	918	1135
10/3/2010	0:45	918	1164
10/3/2010	0:50	918	1122
10/3/2010	0:55	1015	1073
10/3/2010	1:00	1122	987
10/3/2010	1:05	1226	968
10/3/2010	1:10	1336	979
10/3/2010	1:15	1336	1097
10/3/2010	1:20	1336	1197
10/3/2010	1:25	1336	1272
10/3/2010	1:30	1336	1242
10/3/2010	1:35	1336	1219
10/3/2010	1:40	1336	1268
10/3/2010	1:45	1336	1311
10/3/2010	1:50	1336	1287
10/3/2010	1:55	1274	1239
10/3/2010	2:00	1226	1151
10/3/2010	2:05	1176	1134
10/3/2010	2:10	1135	1193
10/3/2010	2:15	1135	1218
10/3/2010	2:20	1135	1171
10/3/2010	2:25	1135	1170
10/3/2010	2:30	1135	1212
10/3/2010	2:35	1135	1277
10/3/2010	2:40	1135	1231
10/3/2010	2:45	1135	1200
10/3/2010	2:50	1135	1251
10/3/2010	2:55	1169	1264
10/3/2010	3:00	1212	1278
10/3/2010	3:05	1252	1290
10/3/2010	3:10	1303	1335
10/3/2010	3:15	1303	1374
10/3/2010	3:20	1303	1390
10/3/2010	3:25	1303	1402
10/3/2010	3:30	1303	1537
10/3/2010	3:35	1303	1538
10/3/2010	3:40	1303	1551
10/3/2010	3:45	1303	1551
10/3/2010	3:50	1303	1510
10/3/2010	3:55	1312	1451
10/3/2010	4:00	1330	1421
10/3/2010	4:05	1350	1501
10/3/2010	4:10	1377	1507
10/3/2010	4:15	1377	1469
10/3/2010	4:20	1377	1465
10/3/2010	4:25	1377	1438
10/3/2010	4:30	1377	1391
10/3/2010	4:35	1377	1425
10/3/2010	4:40	1377	1433
10/3/2010	4:45	1377	1478
10/3/2010	4:50	1377	1513
10/3/2010	4:55	1400	1502
10/3/2010	5:00	1434	1503
10/3/2010	5:05	1464	1534
10/3/2010	5:10	1506	1628
10/3/2010	5:15	1506	1669
10/3/2010	5:20	1506	1687
10/3/2010	5:25	1506	1772
10/3/2010	5:30	1506	1793
10/3/2010	5:35	1506	1716
10/3/2010	5:40	1506	1734
10/3/2010	5:45	1506	1797
10/3/2010	5:50	1506	1808
10/3/2010	5:55	1485	1850
10/3/2010	6:00	1474	1881
10/3/2010	6:05	1467	1908
10/3/2010	6:10	1465	1932
10/3/2010	6:15	1465	1920
10/3/2010	6:20	1465	1914
10/3/2010	6:25	1465	1881
10/3/2010	6:30	1581	1909
10/3/2010	6:35	1581	1950
10/3/2010	6:40	1581	1982
10/3/2010	6:45	1581	2024
10/3/2010	6:50	1581	2000
10/3/2010	6:55	1654	2012
10/3/2010	7:00	1734	1987
10/3/2010	7:05	1809	1910
10/3/2010	7:10	1897	1878
10/3/2010	7:15	1897	1823
10/3/2010	7:20	1897	1775
10/3/2010	7:25	1897	1743
10/3/2010	7:30	1897	1730
10/3/2010	7:35	1897	1723
10/3/2010	7:40	1897	1720
10/3/2010	7:45	1897	1684
10/3/2010	7:50	1897	1664
10/3/2010	7:55	1923	1713
10/3/2010	8:00	1954	1704
10/3/2010	8:05	1988	1745
10/3/2010	8:10	2028	1756
10/3/2010	8:15	2028	1728
10/3/2010	8:20	2028	1794
10/3/2010	8:25	2028	1867
10/3/2010	8:30	2028	1912
10/3/2010	8:35	2028	1979
10/3/2010	8:40	2028	1984
10/3/2010	8:45	2028	1962
10/3/2010	8:50	2028	1942
10/3/2010	8:55	1980	1922
10/3/2010	9:00	1939	1942
10/3/2010	9:05	1900	1949
10/3/2010	9:10	1870	1967
10/3/2010	9:15	1870	1988
10/3/2010	9:20	1870	2059
10/3/2010	9:25	1870	2075
10/3/2010	9:30	1930	2095
10/3/2010	9:35	1930	2108
10/3/2010	9:40	1930	2071
10/3/2010	9:45	1930	2038
10/3/2010	9:50	1930	2010
10/3/2010	9:55	1896	2013
10/3/2010	10:00	1875	1994
10/3/2010	10:05	1854	1985
10/3/2010	10:10	1842	2041
10/3/2010	10:15	1842	2083
10/3/2010	10:20	1842	2098
10/3/2010	10:25	1842	2098
10/3/2010	10:30	1872	2086
10/3/2010	10:35	1872	2073
10/3/2010	10:40	1872	2032
10/3/2010	10:45	1872	2009
10/3/2010	10:50	1872	1991
10/3/2010	10:55	1885	1973
10/3/2010	11:00	1911	1998
10/3/2010	11:05	1933	2023
10/3/2010	11:10	1964	2041
10/3/2010	11:15	1964	2049
10/3/2010	11:20	1964	2019
10/3/2010	11:25	1964	2020
10/3/2010	11:30	1994	2104
10/3/2010	11:35	1994	2095
10/3/2010	11:40	1994	2033
10/3/2010	11:45	1994	1987
10/3/2010	11:50	1994	1947
10/3/2010	11:55	1992	1909
10/3/2010	12:00	1996	1916
10/3/2010	12:05	2003	1881
10/3/2010	12:10	2015	1819
10/3/2010	12:15	2015	1746
10/3/2010	12:20	2015	1663
10/3/2010	12:25	2015	1653
10/3/2010	12:30	2015	1623
10/3/2010	12:35	2015	1639
10/3/2010	12:40	2015	1594
10/3/2010	12:45	2015	1558
10/3/2010	12:50	2015	1492
10/3/2010	12:55	1953	1434
10/3/2010	13:00	1900	1361
10/3/2010	13:05	1850	1305
10/3/2010	13:10	1809	1232
10/3/2010	13:15	1809	1225
10/3/2010	13:20	1809	1235
10/3/2010	13:25	1809	1259
10/3/2010	13:30	1809	1264
10/3/2010	13:35	1809	1243
10/3/2010	13:40	1809	1225
10/3/2010	13:45	1809	1224
10/3/2010	13:50	1809	1211
10/3/2010	13:55	1715	1205
10/3/2010	14:00	1631	1199
10/3/2010	14:05	1550	1176
10/3/2010	14:10	1480	1177
10/3/2010	14:15	1480	1214
10/3/2010	14:20	1480	1247
10/3/2010	14:25	1480	1253
10/3/2010	14:30	1480	1259
10/3/2010	14:35	1480	1322
10/3/2010	14:40	1480	1375
10/3/2010	14:45	1480	1459
10/3/2010	14:50	1480	1518
10/3/2010	14:55	1415	1574
10/3/2010	15:00	1364	1624
10/3/2010	15:05	1312	1653
10/3/2010	15:10	1274	1713
10/3/2010	15:15	1274	1764
10/3/2010	15:20	1274	1783
10/3/2010	15:25	1274	1831
10/3/2010	15:30	1453	1864
10/3/2010	15:35	1453	1899
10/3/2010	15:40	1453	1920
10/3/2010	15:45	1453	1935
10/3/2010	15:50	1453	1946
10/3/2010	15:55	1488	1952
10/3/2010	16:00	1530	1960
10/3/2010	16:05	1573	1981
10/3/2010	16:10	1625	2015
10/3/2010	16:15	1625	2048
10/3/2010	16:20	1625	2089
10/3/2010	16:25	1625	2134
10/3/2010	16:30	1625	2151
10/3/2010	16:35	1625	2110
10/3/2010	16:40	1625	2088
10/3/2010	16:45	1625	2161
10/3/2010	16:50	1625	2184
10/3/2010	16:55	1708	2172
10/3/2010	17:00	1797	2183
10/3/2010	17:05	1884	2179
10/3/2010	17:10	1980	2195
10/3/2010	17:15	1980	2209
10/3/2010	17:20	1980	2268
10/3/2010	17:25	1980	2275
10/3/2010	17:30	1980	2307
10/3/2010	17:35	1980	2305
10/3/2010	17:40	1980	2323
10/3/2010	17:45	1980	2356
10/3/2010	17:50	1980	2347
10/3/2010	17:55	2047	2356
10/3/2010	18:00	2123	2372
10/3/2010	18:05	2194	2376
10/3/2010	18:10	2274	2359
10/3/2010	18:15	2274	2371
10/3/2010	18:20	2274	2372
10/3/2010	18:25	2274	2367
10/3/2010	18:30	2274	2378
10/3/2010	18:35	2274	2388
10/3/2010	18:40	2274	2373
10/3/2010	18:45	2274	2398
10/3/2010	18:50	2274	2407
10/3/2010	18:55	2297	2418
10/3/2010	19:00	2329	2411
10/3/2010	19:05	2358	2515
10/3/2010	19:10	2398	2522
10/3/2010	19:15	2398	2539
10/3/2010	19:20	2398	2533
10/3/2010	19:25	2398	2533
10/3/2010	19:30	2398	2538
10/3/2010	19:35	2398	2538
10/3/2010	19:40	2398	2540
10/3/2010	19:45	2398	2539
10/3/2010	19:50	2398	2544
10/3/2010	19:55	2402	2538
10/3/2010	20:00	2412	2527
