Noise,SigD,SigI,PSNR
10,2.5,3.0,85.2810158947
10,2.5,3.0,82.0148890092
10,2.5,3.0,86.4652425674
10,3.0,2.0,84.8555706956
10,3.0,2.0,85.3298211849
10,3.0,2.0,85.0349704993
10,3.0,2.0,80.3472722076
10,3.0,2.0,87.8842998088
10,3.0,2.5,86.2880131117
10,3.0,2.5,87.704996614
10,3.0,2.5,83.8896995491
10,3.0,2.5,84.3986815332
10,3.0,2.5,85.420353435
10,3.0,3.0,84.8653640455
10,3.0,3.0,84.9957666111
10,3.0,3.0,85.6388386649
10,3.0,3.0,85.2477337533
10,3.0,3.0,88.7326794717
20,2.0,2.0,72.0038194664
20,2.0,2.0,70.3377014362
20,2.0,2.0,68.5659881866
20,2.0,2.0,73.0893276623
20,2.0,2.0,76.7075020747
20,2.0,2.5,79.3270711015
20,2.0,2.5,71.0893387902
20,2.0,2.5,69.5538876578
20,2.0,2.5,64.1211322797
20,2.0,2.5,70.8159114202
20,2.0,3.0,67.0223471306
20,2.0,3.0,74.1632358828
20,2.0,3.0,67.5527017244
20,2.0,3.0,68.6481148296
20,2.0,3.0,70.1357633082
20,2.5,2.0,71.4780079992
20,2.5,2.0,74.3076604518
20,2.5,2.0,74.7119525094
20,2.5,2.0,69.4903131308
20,2.5,2.0,67.9190257369
20,2.5,2.5,76.9077089393
20,2.5,2.5,67.9322375712
20,2.5,2.5,74.8289834336
20,2.5,2.5,77.8087338284
20,2.5,2.5,70.2037275737
20,2.5,3.0,71.6054648698
20,2.5,3.0,74.0007505914
20,2.5,3.0,70.2502238322
20,2.5,3.0,75.35601255
20,2.5,3.0,74.2772211097
20,3.0,2.0,70.1359967467
20,3.0,2.0,70.5972597676
20,3.0,2.0,70.5958773828
20,3.0,2.0,75.1303118992
20,3.0,2.0,71.4236106627
20,3.0,2.5,74.4371453705
20,3.0,2.5,71.1640342446
20,3.0,2.5,70.462707418
20,3.0,2.5,71.8080089977
20,3.0,2.5,71.1407877766
20,3.0,3.0,67.2463950115
20,3.0,3.0,73.6770031331
20,3.0,3.0,74.5548272606
20,3.0,3.0,67.9021554159
20,3.0,3.0,72.5017248512
30,2.0,2.0,61.2993480671
30,2.0,2.0,62.9073386869
30,2.0,2.0,63.6578729505
30,2.0,2.0,61.4838486446
30,2.0,2.0,58.5892011811
30,2.0,2.5,61.9146006932
30,2.0,2.5,62.3006214694
30,2.0,2.5,61.3486282725
30,2.0,2.5,57.7387519217
30,2.0,2.5,64.5826587406
30,2.0,3.0,62.0991979546
30,2.0,3.0,59.9817946025
30,2.0,3.0,63.5216475961
30,2.0,3.0,58.9283730534
30,2.0,3.0,56.9845940367
30,2.5,2.0,66.5190735585
30,2.5,2.0,63.8963155547
30,2.5,2.0,64.467713141
30,2.5,2.0,65.0109043062
30,2.5,2.0,63.3890098347
30,2.5,2.5,60.55488121
30,2.5,2.5,63.2269916911
30,2.5,2.5,60.1629149238
30,2.5,2.5,61.5679685642
30,2.5,2.5,58.7618051647
30,2.5,3.0,65.9004747384
30,2.5,3.0,64.224919248
30,2.5,3.0,62.619350377
30,2.5,3.0,61.7716644389
30,2.5,3.0,61.7169294658
30,3.0,2.0,63.7093639708
30,3.0,2.0,62.9177263687
30,3.0,2.0,63.2496076009
30,3.0,2.0,64.4972424222
30,3.0,2.0,67.6426506917
