Noise,SigD1,SigI1,SigD2,SigI2,PSNR
1,3.0,2.5,2.5,2.5,126.325846007
1,3.0,2.5,2.5,2.5,128.948867591
1,3.0,2.5,2.5,2.5,126.05444264
1,3.0,2.5,2.5,2.5,129.546134672
1,3.0,2.5,2.5,3.0,127.506089397
1,3.0,2.5,2.5,3.0,127.726977394
1,3.0,2.5,2.5,3.0,124.712746095
1,3.0,2.5,2.5,3.0,124.09428942
1,3.0,2.5,2.5,3.0,123.9156234
1,3.0,2.5,3.0,2.0,120.779111829
1,3.0,2.5,3.0,2.0,121.056735734
1,3.0,2.5,3.0,2.0,126.356588754
1,3.0,2.5,3.0,2.0,125.684919462
1,3.0,2.5,3.0,2.0,126.382718463
1,3.0,2.5,3.0,2.5,126.335910356
1,3.0,2.5,3.0,2.5,125.836760198
1,3.0,2.5,3.0,2.5,124.362838907
1,3.0,2.5,3.0,2.5,127.000503434
1,3.0,2.5,3.0,2.5,127.734650813
1,3.0,2.5,3.0,3.0,129.039596733
1,3.0,2.5,3.0,3.0,129.56605284
1,3.0,2.5,3.0,3.0,127.937508162
1,3.0,2.5,3.0,3.0,126.812626943
1,3.0,2.5,3.0,3.0,127.137584454
1,3.0,3.0,2.0,2.0,126.054399337
1,3.0,3.0,2.0,2.0,128.713414613
1,3.0,3.0,2.0,2.0,126.785892242
1,3.0,3.0,2.0,2.0,128.167208532
1,3.0,3.0,2.0,2.0,126.520694446
1,3.0,3.0,2.0,2.5,128.333764372
1,3.0,3.0,2.0,2.5,127.843204569
1,3.0,3.0,2.0,2.5,124.093851673
1,3.0,3.0,2.0,2.5,128.627954822
1,3.0,3.0,2.0,2.5,124.782694404
1,3.0,3.0,2.0,3.0,128.046792582
1,3.0,3.0,2.0,3.0,132.227278458
1,3.0,3.0,2.0,3.0,121.412589221
1,3.0,3.0,2.0,3.0,123.710321372
1,3.0,3.0,2.0,3.0,123.368882476
1,3.0,3.0,2.5,2.0,123.431687469
1,3.0,3.0,2.5,2.0,126.713988476
1,3.0,3.0,2.5,2.0,127.861519029
1,3.0,3.0,2.5,2.0,127.183212484
1,3.0,3.0,2.5,2.0,128.388215349
1,3.0,3.0,2.5,2.5,129.987177076
1,3.0,3.0,2.5,2.5,128.677950691
1,3.0,3.0,2.5,2.5,123.408317964
1,3.0,3.0,2.5,2.5,122.792935103
1,3.0,3.0,2.5,2.5,129.315665423
1,3.0,3.0,2.5,3.0,125.049562734
1,3.0,3.0,2.5,3.0,126.474034437
1,3.0,3.0,2.5,3.0,123.557194383
1,3.0,3.0,2.5,3.0,124.886383068
1,3.0,3.0,2.5,3.0,125.746065823
1,3.0,3.0,3.0,2.0,125.820145471
1,3.0,3.0,3.0,2.0,125.123593171
1,3.0,3.0,3.0,2.0,125.03639918
1,3.0,3.0,3.0,2.0,125.488417939
1,3.0,3.0,3.0,2.0,125.600483231
1,3.0,3.0,3.0,2.5,124.499305157
1,3.0,3.0,3.0,2.5,127.950213547
1,3.0,3.0,3.0,2.5,126.793475066
1,3.0,3.0,3.0,2.5,124.183117187
1,3.0,3.0,3.0,2.5,124.704962878
1,3.0,3.0,3.0,3.0,127.361520899
1,3.0,3.0,3.0,3.0,123.914523955
1,3.0,3.0,3.0,3.0,126.305630147
1,3.0,3.0,3.0,3.0,126.908824246
1,3.0,3.0,3.0,3.0,122.792463369
5,2.0,2.0,2.0,2.0,96.1863752254
5,2.0,2.0,2.0,2.0,96.0631463164
5,2.0,2.0,2.0,2.0,95.222249072
5,2.0,2.0,2.0,2.0,90.9366015551
5,2.0,2.0,2.0,2.0,96.8037821696
5,2.0,2.0,2.0,2.5,92.6049929159
5,2.0,2.0,2.0,2.5,95.0857161254
5,2.0,2.0,2.0,2.5,95.93162482
5,2.0,2.0,2.0,2.5,92.6851941084
5,2.0,2.0,2.0,2.5,92.243373239
5,2.0,2.0,2.0,3.0,97.2784270438
5,2.0,2.0,2.0,3.0,94.85410798
5,2.0,2.0,2.0,3.0,93.8886935698
5,2.0,2.0,2.0,3.0,95.0063519255
5,2.0,2.0,2.0,3.0,94.2072345698
5,2.0,2.0,2.5,2.0,96.0643160175
5,2.0,2.0,2.5,2.0,94.9012565834
5,2.0,2.0,2.5,2.0,93.5099979333
5,2.0,2.0,2.5,2.0,95.0626757673
5,2.0,2.0,2.5,2.0,95.4440596732
5,2.0,2.0,2.5,2.5,91.6308133748
5,2.0,2.0,2.5,2.5,91.5152133073
5,2.0,2.0,2.5,2.5,97.3709018409
5,2.0,2.0,2.5,2.5,97.5112816669
5,2.0,2.0,2.5,2.5,100.71926351
5,2.0,2.0,2.5,3.0,91.7214585161
5,2.0,2.0,2.5,3.0,95.0969296189
5,2.0,2.0,2.5,3.0,97.6919296654
5,2.0,2.0,2.5,3.0,100.20249374
5,2.0,2.0,2.5,3.0,100.140674263
5,2.0,2.0,3.0,2.0,96.2111201141
5,2.0,2.0,3.0,2.0,95.8942599955
5,2.0,2.0,3.0,2.0,99.9392154963
5,2.0,2.0,3.0,2.0,94.0113899946
5,2.0,2.0,3.0,2.0,97.5852802621
5,2.0,2.0,3.0,2.5,94.1322185437
5,2.0,2.0,3.0,2.5,97.7643379079
5,2.0,2.0,3.0,2.5,100.263093436
5,2.0,2.0,3.0,2.5,96.5211373897
5,2.0,2.0,3.0,2.5,97.1887842432
5,2.0,2.0,3.0,3.0,98.8550988972
5,2.0,2.0,3.0,3.0,94.1279507245
5,2.0,2.0,3.0,3.0,98.3085607347
5,2.0,2.0,3.0,3.0,102.10234674
5,2.0,2.0,3.0,3.0,95.8350090487
5,2.0,2.5,2.0,2.0,95.9556183203
5,2.0,2.5,2.0,2.0,96.7261564759
5,2.0,2.5,2.0,2.0,96.0724134073
5,2.0,2.5,2.0,2.0,92.1877622014
5,2.0,2.5,2.0,2.0,95.4425025625
5,2.0,2.5,2.0,2.5,92.7543252315
5,2.0,2.5,2.0,2.5,99.2134996505
5,2.0,2.5,2.0,2.5,94.592482998
5,2.0,2.5,2.0,2.5,93.8361255357
5,2.0,2.5,2.0,2.5,93.8015337884
5,2.0,2.5,2.0,3.0,93.5922364513
5,2.0,2.5,2.0,3.0,90.5494025051
5,2.0,2.5,2.0,3.0,96.6710210545
5,2.0,2.5,2.0,3.0,91.1844544152
5,2.0,2.5,2.0,3.0,96.2512773666
5,2.0,2.5,2.5,2.0,93.6432124137
5,2.0,2.5,2.5,2.0,96.192917117
5,2.0,2.5,2.5,2.0,90.8028131112
5,2.0,2.5,2.5,2.0,96.2433567601
5,2.0,2.5,2.5,2.0,94.7201638543
5,2.0,2.5,2.5,2.5,96.8241204935
5,2.0,2.5,2.5,2.5,95.1744463126
5,2.0,2.5,2.5,2.5,96.1535137625
5,2.0,2.5,2.5,2.5,96.7246926196
5,2.0,2.5,2.5,2.5,96.3029748152
5,2.0,2.5,2.5,3.0,98.029979435
5,2.0,2.5,2.5,3.0,101.034645788
5,2.0,2.5,2.5,3.0,99.8633884176
5,2.0,2.5,2.5,3.0,99.0704662439
5,2.0,2.5,2.5,3.0,99.340656121
5,2.0,2.5,3.0,2.0,95.9351591848
5,2.0,2.5,3.0,2.0,96.2962329717
5,2.0,2.5,3.0,2.0,96.3909581682
5,2.0,2.5,3.0,2.0,101.221118056
5,2.0,2.5,3.0,2.0,96.644401247
5,2.0,2.5,3.0,2.5,95.5063160414
5,2.0,2.5,3.0,2.5,97.0086451638
5,2.0,2.5,3.0,2.5,95.9720657526
5,2.0,2.5,3.0,2.5,103.405271465
5,2.0,2.5,3.0,2.5,100.367507837
5,2.0,2.5,3.0,3.0,94.8463846226
5,2.0,2.5,3.0,3.0,98.374964866
5,2.0,2.5,3.0,3.0,100.435773986
5,2.0,2.5,3.0,3.0,95.9539574321
5,2.0,2.5,3.0,3.0,96.0294409767
5,2.0,3.0,2.0,2.0,96.466933621
5,2.0,3.0,2.0,2.0,96.4808320634
5,2.0,3.0,2.0,2.0,94.4096660456
5,2.0,3.0,2.0,2.0,95.0424553552
5,2.0,3.0,2.0,2.0,97.8549602967
5,2.0,3.0,2.0,2.5,95.7725139454
5,2.0,3.0,2.0,2.5,92.5045986689
5,2.0,3.0,2.0,2.5,90.402771533
5,2.0,3.0,2.0,2.5,96.9587194709
5,2.0,3.0,2.0,2.5,96.3119916674
5,2.0,3.0,2.0,3.0,97.0273968918
5,2.0,3.0,2.0,3.0,94.2017637455
5,2.0,3.0,2.0,3.0,92.3850548554
5,2.0,3.0,2.0,3.0,96.3701315901
5,2.0,3.0,2.0,3.0,95.7087655319
5,2.0,3.0,2.5,2.0,98.5823196397
5,2.0,3.0,2.5,2.0,95.4152337948
5,2.0,3.0,2.5,2.0,91.0730358496
5,2.0,3.0,2.5,2.0,96.356225381
5,2.0,3.0,2.5,2.0,98.8395837481
5,2.0,3.0,2.5,2.5,88.1215100616
5,2.0,3.0,2.5,2.5,89.5035378943
5,2.0,3.0,2.5,2.5,95.3968823862
5,2.0,3.0,2.5,2.5,98.3611384717
5,2.0,3.0,2.5,2.5,95.9253070253
5,2.0,3.0,2.5,3.0,93.4813181314
5,2.0,3.0,2.5,3.0,94.4947084431
5,2.0,3.0,2.5,3.0,95.0528949481
5,2.0,3.0,2.5,3.0,96.0540097602
5,2.0,3.0,2.5,3.0,102.469505259
5,2.0,3.0,3.0,2.0,95.5483845369
5,2.0,3.0,3.0,2.0,102.48831375
5,2.0,3.0,3.0,2.0,101.257528742
5,2.0,3.0,3.0,2.0,101.287556942
5,2.0,3.0,3.0,2.0,99.2281642577
5,2.0,3.0,3.0,2.5,97.2389967454
5,2.0,3.0,3.0,2.5,94.0918655181
5,2.0,3.0,3.0,2.5,96.6691610993
5,2.0,3.0,3.0,2.5,91.2144251495
5,2.0,3.0,3.0,2.5,99.1605469866
5,2.0,3.0,3.0,3.0,97.9971712476
5,2.0,3.0,3.0,3.0,98.6529752402
5,2.0,3.0,3.0,3.0,97.0536939137
5,2.0,3.0,3.0,3.0,89.1230543443
5,2.0,3.0,3.0,3.0,91.0392517817
5,2.5,2.0,2.0,2.0,97.4065425816
5,2.5,2.0,2.0,2.0,96.6113108363
5,2.5,2.0,2.0,2.0,92.4071483093
5,2.5,2.0,2.0,2.0,96.3897311543
5,2.5,2.0,2.0,2.0,94.1224035325
5,2.5,2.0,2.0,2.5,96.6531342941
5,2.5,2.0,2.0,2.5,93.8843385867
5,2.5,2.0,2.0,2.5,95.3063521994
5,2.5,2.0,2.0,2.5,98.0476054088
5,2.5,2.0,2.0,2.5,97.4397348723
5,2.5,2.0,2.0,3.0,94.9927900617
5,2.5,2.0,2.0,3.0,93.7831405401
5,2.5,2.0,2.0,3.0,91.8411642371
5,2.5,2.0,2.0,3.0,101.652532259
5,2.5,2.0,2.0,3.0,94.671887966
5,2.5,2.0,2.5,2.0,96.9234195047
5,2.5,2.0,2.5,2.0,94.1838822164
5,2.5,2.0,2.5,2.0,95.5038350284
5,2.5,2.0,2.5,2.0,96.95780881
5,2.5,2.0,2.5,2.0,97.1483758027
5,2.5,2.0,2.5,2.5,100.181779396
5,2.5,2.0,2.5,2.5,96.2942864872
5,2.5,2.0,2.5,2.5,99.7476868242
5,2.5,2.0,2.5,2.5,93.9137421667
5,2.5,2.0,2.5,2.5,96.7265123185
5,2.5,2.0,2.5,3.0,97.6506651463
5,2.5,2.0,2.5,3.0,96.2204228568
5,2.5,2.0,2.5,3.0,97.9195530363
5,2.5,2.0,2.5,3.0,97.3933816325
5,2.5,2.0,2.5,3.0,98.8344060234
5,2.5,2.0,3.0,2.0,94.5123735544
5,2.5,2.0,3.0,2.0,93.3825684559
5,2.5,2.0,3.0,2.0,93.9386703476
