Noise,SigD,SigI,Beta,Window,T,PSNR
20,2.0,3.0,1.0,7,0.6666,59.2042696898
20,2.0,3.0,1.0,7,0.6666,59.9894942886
20,2.0,3.0,1.0,7,0.6666,62.8917106779
20,3.0,2.0,0.5,7,0.3333,60.2761417722
20,3.0,2.0,0.5,7,0.3333,66.5298206262
20,3.0,2.0,0.5,7,0.3333,65.8339816952
20,3.0,2.0,0.5,7,0.3333,61.4968919903
20,3.0,2.0,0.5,7,0.3333,58.3665690508
20,3.0,2.0,0.5,7,0.6666,66.2677568035
20,3.0,2.0,0.5,7,0.6666,58.9670967732
20,3.0,2.0,0.5,7,0.6666,60.2607266978
20,3.0,2.0,0.5,7,0.6666,61.9755583916
20,3.0,2.0,0.5,7,0.6666,68.1814097762
20,3.0,2.0,1.0,7,0.3333,63.9805881614
20,3.0,2.0,1.0,7,0.3333,68.8339855841
20,3.0,2.0,1.0,7,0.3333,69.8893065363
20,3.0,2.0,1.0,7,0.3333,63.6324276535
20,3.0,2.0,1.0,7,0.3333,60.9935994988
20,3.0,2.0,1.0,7,0.6666,63.6020935749
20,3.0,2.0,1.0,7,0.6666,63.4087333408
20,3.0,2.0,1.0,7,0.6666,60.262485196
20,3.0,2.0,1.0,7,0.6666,61.3010037553
20,3.0,2.0,1.0,7,0.6666,67.5177020606
20,3.0,3.0,0.5,7,0.3333,62.7844164595
20,3.0,3.0,0.5,7,0.3333,60.6620085609
20,3.0,3.0,0.5,7,0.3333,60.6668344795
20,3.0,3.0,0.5,7,0.3333,65.6524431675
20,3.0,3.0,0.5,7,0.3333,62.3055702829
20,3.0,3.0,0.5,7,0.6666,66.8092760433
20,3.0,3.0,0.5,7,0.6666,64.7304306144
20,3.0,3.0,0.5,7,0.6666,61.7558574226
20,3.0,3.0,0.5,7,0.6666,66.0989167286
20,3.0,3.0,0.5,7,0.6666,63.3774556804
20,3.0,3.0,1.0,7,0.3333,61.5193520013
20,3.0,3.0,1.0,7,0.3333,62.5564702758
20,3.0,3.0,1.0,7,0.3333,67.8094601374
20,3.0,3.0,1.0,7,0.3333,61.0674583372
20,3.0,3.0,1.0,7,0.3333,62.4575130512
20,3.0,3.0,1.0,7,0.6666,63.0064543419
20,3.0,3.0,1.0,7,0.6666,59.5342757268
20,3.0,3.0,1.0,7,0.6666,63.551657633
20,3.0,3.0,1.0,7,0.6666,60.5866190562
20,3.0,3.0,1.0,7,0.6666,63.2631960466
30,2.0,2.0,0.5,7,0.3333,54.2323502976
30,2.0,2.0,0.5,7,0.3333,57.2832326892
30,2.0,2.0,0.5,7,0.3333,55.0266170289
30,2.0,2.0,0.5,7,0.3333,54.1685708712
30,2.0,2.0,0.5,7,0.3333,55.9172258798
30,2.0,2.0,0.5,7,0.6666,49.8574962117
30,2.0,2.0,0.5,7,0.6666,58.0201929004
30,2.0,2.0,0.5,7,0.6666,52.1705703253
30,2.0,2.0,0.5,7,0.6666,53.3404608672
30,2.0,2.0,0.5,7,0.6666,53.5834758413
30,2.0,2.0,1.0,7,0.3333,53.5455780778
30,2.0,2.0,1.0,7,0.3333,52.4449425317
30,2.0,2.0,1.0,7,0.3333,54.3566725384
30,2.0,2.0,1.0,7,0.3333,56.881039903
30,2.0,2.0,1.0,7,0.3333,56.9109308624
30,2.0,2.0,1.0,7,0.6666,60.542676062
30,2.0,2.0,1.0,7,0.6666,61.6227692152
30,2.0,2.0,1.0,7,0.6666,54.7926257228
30,2.0,2.0,1.0,7,0.6666,53.383179752
30,2.0,2.0,1.0,7,0.6666,55.7071143946
30,2.0,3.0,0.5,7,0.3333,52.5351591433
30,2.0,3.0,0.5,7,0.3333,57.0802873045
30,2.0,3.0,0.5,7,0.3333,54.5807025026
30,2.0,3.0,0.5,7,0.3333,53.298901961
30,2.0,3.0,0.5,7,0.3333,56.2775932392
30,2.0,3.0,0.5,7,0.6666,54.9959154168
30,2.0,3.0,0.5,7,0.6666,52.5502372452
30,2.0,3.0,0.5,7,0.6666,50.0112597558
30,2.0,3.0,0.5,7,0.6666,53.1060629951
30,2.0,3.0,0.5,7,0.6666,52.2211293513
30,2.0,3.0,1.0,7,0.3333,57.7640853522
30,2.0,3.0,1.0,7,0.3333,52.834259808
30,2.0,3.0,1.0,7,0.3333,53.4934597526
30,2.0,3.0,1.0,7,0.3333,58.0945360631
30,2.0,3.0,1.0,7,0.3333,54.5823118493
30,2.0,3.0,1.0,7,0.6666,51.7096643756
30,2.0,3.0,1.0,7,0.6666,54.8097783995
30,2.0,3.0,1.0,7,0.6666,56.9263289972
30,2.0,3.0,1.0,7,0.6666,57.2090326554
30,2.0,3.0,1.0,7,0.6666,53.1907483204
30,3.0,2.0,0.5,7,0.3333,56.8659509166
30,3.0,2.0,0.5,7,0.3333,57.7632579004
30,3.0,2.0,0.5,7,0.3333,54.8538856553
30,3.0,2.0,0.5,7,0.3333,58.3735827774
30,3.0,2.0,0.5,7,0.3333,57.0802481006
30,3.0,2.0,0.5,7,0.6666,56.7755351662
30,3.0,2.0,0.5,7,0.6666,57.2839011008
30,3.0,2.0,0.5,7,0.6666,59.4160409392
30,3.0,2.0,0.5,7,0.6666,54.697216392
30,3.0,2.0,0.5,7,0.6666,58.8201705414
30,3.0,2.0,1.0,7,0.3333,60.3913682682
30,3.0,2.0,1.0,7,0.3333,58.6873221339
30,3.0,2.0,1.0,7,0.3333,59.6731501347
30,3.0,2.0,1.0,7,0.3333,58.5644798402
30,3.0,2.0,1.0,7,0.3333,57.9520647952
30,3.0,2.0,1.0,7,0.6666,59.6046727498
30,3.0,2.0,1.0,7,0.6666,63.929001666
30,3.0,2.0,1.0,7,0.6666,59.3264406173
30,3.0,2.0,1.0,7,0.6666,57.757494268
30,3.0,2.0,1.0,7,0.6666,59.4972938697
30,3.0,3.0,0.5,7,0.3333,55.4907176636
30,3.0,3.0,0.5,7,0.3333,57.4515505201
30,3.0,3.0,0.5,7,0.3333,55.9330638716
30,3.0,3.0,0.5,7,0.3333,54.5944911826
30,3.0,3.0,0.5,7,0.3333,55.7635521177
30,3.0,3.0,0.5,7,0.6666,56.143207679
30,3.0,3.0,0.5,7,0.6666,55.9481964187
30,3.0,3.0,0.5,7,0.6666,62.6785051026
30,3.0,3.0,0.5,7,0.6666,51.2721732471
30,3.0,3.0,0.5,7,0.6666,54.8592196397
30,3.0,3.0,1.0,7,0.3333,62.0873335987
30,3.0,3.0,1.0,7,0.3333,58.0115499469
30,3.0,3.0,1.0,7,0.3333,56.915024649
30,3.0,3.0,1.0,7,0.3333,56.4258692706
30,3.0,3.0,1.0,7,0.3333,60.3656499341
30,3.0,3.0,1.0,7,0.6666,57.2793491181
30,3.0,3.0,1.0,7,0.6666,55.1714071014
30,3.0,3.0,1.0,7,0.6666,57.9363927294
30,3.0,3.0,1.0,7,0.6666,61.6201430642
30,3.0,3.0,1.0,7,0.6666,57.5405002125
1,2.5,2.3,0.65,7,1.0,109.519492336
1,2.5,2.3,0.65,7,1.0,110.480575141
1,2.5,2.3,0.65,7,1.0,108.266099709
1,2.5,2.3,0.65,7,1.0,108.829854268
1,2.5,2.3,0.65,7,1.0,108.465774627
1,2.5,2.3,0.85,7,1.0,106.321175085
1,2.5,2.3,0.85,7,1.0,108.527151059
