Noise,SigD,SigI,PSNR
5,3.2,2.7,101.87687606
5,3.2,2.7,102.301339263
5,3.2,2.7,102.059218118
5,3.2,2.7,98.8267050347
10,3.0,2.5,84.0182312536
10,3.0,2.5,85.5024232557
10,3.0,2.5,87.9771510857
10,3.0,2.5,84.1009694384
10,3.0,2.5,78.011319011
10,3.0,2.6,83.5870394493
10,3.0,2.6,83.3082815996
10,3.0,2.6,87.7165499837
10,3.0,2.6,90.2061731747
10,3.0,2.6,86.6870361984
10,3.0,2.7,80.2314209347
10,3.0,2.7,83.7954963434
10,3.0,2.7,85.3239329927
10,3.0,2.7,85.2301863868
10,3.0,2.7,79.2337836572
10,3.1,2.5,85.2819189784
10,3.1,2.5,82.4223101255
10,3.1,2.5,85.7600098719
10,3.1,2.5,84.2479205395
10,3.1,2.5,84.9136567179
10,3.1,2.6,82.6110537985
10,3.1,2.6,86.3457003227
10,3.1,2.6,87.5542867184
10,3.1,2.6,82.5825171454
10,3.1,2.6,86.801222983
10,3.1,2.7,83.8079648665
10,3.1,2.7,82.8501000418
10,3.1,2.7,79.9982757076
10,3.1,2.7,89.0082931079
10,3.1,2.7,85.0044419579
10,3.2,2.5,86.5446214618
10,3.2,2.5,84.3035053124
10,3.2,2.5,86.5547055835
10,3.2,2.5,86.5666061509
10,3.2,2.5,80.8993772589
10,3.2,2.6,89.8334522807
10,3.2,2.6,84.6099101606
10,3.2,2.6,90.7729725219
10,3.2,2.6,78.1004716148
10,3.2,2.6,87.1125419965
10,3.2,2.7,85.9244454443
10,3.2,2.7,80.3268996915
10,3.2,2.7,82.0569011622
10,3.2,2.7,89.2043618864
10,3.2,2.7,82.5751072906
20,3.0,2.5,71.6002088981
20,3.0,2.5,68.9959698096
20,3.0,2.5,66.0634168826
20,3.0,2.5,69.7333888443
20,3.0,2.5,67.9297697313
20,3.0,2.6,72.7193497274
20,3.0,2.6,72.2832010762
20,3.0,2.6,69.178452313
20,3.0,2.6,72.014882278
20,3.0,2.6,67.109490921
20,3.0,2.7,71.7316330555
20,3.0,2.7,67.8357121648
20,3.0,2.7,69.6723483057
20,3.0,2.7,66.8205514731
20,3.0,2.7,69.2638643148
20,3.1,2.5,70.5447644759
20,3.1,2.5,66.0958663816
20,3.1,2.5,70.3144902943
20,3.1,2.5,66.9374209149
20,3.1,2.5,67.4509195093
20,3.1,2.6,72.4935462485
20,3.1,2.6,67.2804409203
20,3.1,2.6,73.9281275699
20,3.1,2.6,65.9409485804
20,3.1,2.6,71.6281071696
20,3.1,2.7,69.1360083095
20,3.1,2.7,65.5002492683
20,3.1,2.7,68.3040063327
