Noise,Beta,Window,T,PSNR
20,1.0,9,0.9,53.703303308
20,1.0,9,0.9,51.6936492363
20,1.0,9,0.925,57.1337474122
20,1.0,9,0.925,53.2653975644
20,1.0,9,0.925,52.9082581385
20,1.0,9,0.925,51.6430397108
20,1.0,9,0.925,53.073161247
20,1.0,9,0.95,52.5048746885
20,1.0,9,0.95,54.1878333265
20,1.0,9,0.95,54.2703067146
20,1.0,9,0.95,50.3631337686
20,1.0,9,0.95,54.5803134176
20,1.0,9,0.975,55.816252653
20,1.0,9,0.975,54.4731454085
20,1.0,9,0.975,54.5272502495
20,1.0,9,0.975,51.8796417414
20,1.0,9,0.975,55.9709100887
30,0.5,3,0.9,49.5149663503
30,0.5,3,0.9,48.7080186982
30,0.5,3,0.9,50.155566478
30,0.5,3,0.9,48.6826066832
30,0.5,3,0.9,51.3581599736
30,0.5,3,0.925,47.7538100911
30,0.5,3,0.925,50.0616091413
30,0.5,3,0.925,51.4144967125
30,0.5,3,0.925,49.6472210612
30,0.5,3,0.925,49.7829091758
30,0.5,3,0.95,49.6254967927
30,0.5,3,0.95,50.3182771113
30,0.5,3,0.95,48.9455308617
30,0.5,3,0.95,52.2221213146
30,0.5,3,0.95,50.8394731193
30,0.5,3,0.975,47.4713259927
30,0.5,3,0.975,48.2284858374
30,0.5,3,0.975,49.926101846
30,0.5,3,0.975,52.3567545148
30,0.5,3,0.975,49.6370538877
30,0.5,5,0.9,54.5874610466
30,0.5,5,0.9,54.7633414883
30,0.5,5,0.9,52.4026178611
30,0.5,5,0.9,52.4325753531
30,0.5,5,0.9,52.7523991059
30,0.5,5,0.925,52.4624047671
30,0.5,5,0.925,50.6578618089
30,0.5,5,0.925,51.7996363883
30,0.5,5,0.925,50.8811588594
30,0.5,5,0.925,49.4906400221
30,0.5,5,0.95,52.8673373885
30,0.5,5,0.95,51.4135597157
30,0.5,5,0.95,49.4759972707
30,0.5,5,0.95,54.8762888315
30,0.5,5,0.95,51.1056751327
30,0.5,5,0.975,51.5058005155
30,0.5,5,0.975,50.8699117362
30,0.5,5,0.975,50.9264329836
30,0.5,5,0.975,50.5327823721
30,0.5,5,0.975,53.7393853615
30,0.5,7,0.9,54.7551635327
30,0.5,7,0.9,52.5711980349
30,0.5,7,0.9,51.073447372
30,0.5,7,0.9,50.7037095972
30,0.5,7,0.9,51.7913577841
30,0.5,7,0.925,57.5305217831
30,0.5,7,0.925,51.4123960248
30,0.5,7,0.925,51.8018394031
30,0.5,7,0.925,52.0985577692
30,0.5,7,0.925,53.3513605299
30,0.5,7,0.95,53.8832463484
30,0.5,7,0.95,49.6057200803
30,0.5,7,0.95,56.0885593827
30,0.5,7,0.95,57.8000692578
30,0.5,7,0.95,52.3939153077
30,0.5,7,0.975,56.2345831261
30,0.5,7,0.975,51.8415434222
30,0.5,7,0.975,53.042658631
30,0.5,7,0.975,52.8946109406
30,0.5,7,0.975,55.1215465729
30,0.5,9,0.9,52.1160377383
30,0.5,9,0.9,51.3683814067
30,0.5,9,0.9,51.4109142514
30,0.5,9,0.9,49.9419740899
30,0.5,9,0.9,59.4125017644
30,0.5,9,0.925,52.5315050183
30,0.5,9,0.925,54.1892126933
